Country;Region;Year;Economy_status_Developed;Infant_deaths;Under_five_deaths;Alcohol_consumption;Hepatitis_B_alt;Measles_alt;Polio_alt;Diphtheria_alt;BMI;Incidents_HIV;GDP_per_capita;Population_mln;Thinness_ten_nineteen_years;Thinness_five_nine_years;Schooling;Life_expectancy
Cabo Verde;Africa;2009;No;22.7;27;4.2;alta;alta;alta;alta;24.2;0.26;3004;0.49;7.6;7.6;5;70.9
Ecuador;South America;2004;No;20.7;24.4;4.09;elevada;alta;alta;elevada;25.8;0.2;4725;13.6;1.5;1.3;7.2;73.9
Moldova;Rest of Europe;2015;No;13.6;15.8;6.76;elevada;alta;elevada;elevada;27;0.36;2732;2.83;2.7;2.8;11.6;71.5
Bolivia;South America;2010;No;33;41.6;3.37;alta;elevada;alta;alta;25.8;0.17;2514;10.05;1.2;1.1;7.8;68
Venezuela;South America;2003;No;16.9;19.8;6.39;elevada;elevada;elevada;moderada;26.4;0.4;3273;25.55;1.7;1.6;7;72.6
Malta;European Union;2008;Yes;5.9;6.8;6.87;elevada;elevada;elevada;elevada;27.1;0.08;19948;0.41;0.7;0.7;10;79.6
Bosnia and Herzegovina;Rest of Europe;2003;No;8.1;9.2;4.29;alta;elevada;elevada;elevada;24.9;0.08;3172;3.76;3;3;7.2;74.9
Pakistan;Asia;2005;No;76.6;96.3;0.039;moderada;baixa;moderada;elevada;23;0.13;1175;160.3;21.2;21.7;4.5;64
Bhutan;Asia;2013;No;29.6;36.2;0.31;alta;elevada;alta;alta;23.6;0.14;2501;0.71;15.9;16.5;2.8;69.7
Canada;North America;2010;Yes;5;5.7;8.4;moderada;elevada;alta;elevada;26.8;0.1;41155;34;0.5;0.4;12.6;81.2
Uruguay;South America;2001;No;14.4;16.5;6.9;alta;alta;alta;alta;25.9;0.17;9679;3.33;1.8;1.7;8;74.9
Madagascar;Africa;2002;No;62.5;96.5;0.8;moderada;moderada;moderada;moderada;20.7;0.04;426;16.77;8.5;8.4;5.3;59.7
St Vincent and the Grenadines;Central America and Caribbean;2010;No;17.8;19.8;7.19;alta;elevada;alta;alta;26.6;0.4;6783;0.11;3.5;3.5;8.3;71.8
Tajikistan;Asia;2013;No;34.2;39.4;0.8;alta;alta;alta;alta;25.6;0.12;907;8.06;3.6;3.7;10.7;69.6
Burundi;Africa;2001;No;91.9;149.4;6.62;elevada;moderada;elevada;elevada;20.7;1.41;306;6.53;8.8;8.8;1.9;49.9
Morocco;Africa;2000;No;43.9;52.3;0.45;baixa;alta;alta;alta;24.6;0.06;1763;28.79;6.7;6.6;3.4;68.7
Libya;Africa;2008;No;16.1;18.8;0.011;alta;alta;alta;alta;27.4;0.09;13794;6.06;5.5;5.4;7;72.2
Japan;Asia;2013;Yes;2.1;2.9;8.65;elevada;alta;alta;alta;22.7;0.17;34240;127.45;2;1.7;12.2;83.3
Lithuania;European Union;2013;Yes;4.1;5;14.92;alta;alta;alta;alta;26.4;0.09;13262;2.96;2.7;2.7;11.9;73.9
Portugal;European Union;2002;Yes;4.7;6.1;12.5;elevada;moderada;alta;alta;25.6;0.21;19068;10.42;0.8;0.6;7;77.1
Congo Rep;Africa;2015;No;37.6;52.6;2.05;elevada;moderada;elevada;elevada;23.1;2.04;2449;4.86;7.5;7.1;6.3;63.1
Zambia;Africa;2006;No;58.4;98.5;2.73;elevada;baixa;elevada;elevada;21.9;7.23;965;12.17;7;6.9;6.4;49.8
Namibia;Africa;2007;No;37.6;60.8;1.9;elevada;moderada;elevada;elevada;23.5;7.04;4012;2.01;12;12;6.1;52.6
Australia;Oceania;2006;Yes;4.7;5.6;10.31;alta;elevada;alta;alta;26.7;0.05;50948;20.7;0.7;0.6;11.9;81
Cameroon;Africa;2000;No;87.6;143.9;3.89;elevada;moderada;moderada;moderada;23;4.22;1107;15.51;7.7;7.8;4.8;51
Egypt Arab Rep;Africa;2007;No;27.1;32.7;0.19;alta;moderada;alta;alta;28.4;0.13;3126;78.23;3.1;3.1;6;69.8
Papua New Guinea;Oceania;2006;No;48.7;63.5;0.61;elevada;moderada;moderada;elevada;24.7;0.5;1944;6.65;1.4;1.4;3.6;60.8
Lao PDR;Asia;2005;No;63.6;86.8;3.69;baixa;moderada;moderada;baixa;21.6;0.16;1172;5.75;1;1.1;4.2;61.6
Lithuania;European Union;2004;Yes;7.4;9.3;12.1;alta;alta;alta;alta;26.1;0.06;8919;3.38;3.1;3.1;11.5;72
Malta;European Union;2000;Yes;6.9;7.8;5.94;elevada;moderada;alta;alta;26.9;0.08;17189;0.39;0.8;0.7;8.1;78.3
Ecuador;South America;2011;No;15.6;18.1;3.99;elevada;alta;elevada;elevada;26.6;0.16;5655;15.24;1.3;1.2;8;75.3
Congo Dem Rep;Africa;2003;No;99.9;145.7;2.26;moderada;moderada;baixa;baixa;21;0.89;342;51.43;11.9;11.7;3.9;52.1
Dominican Republic;Central America and Caribbean;2005;No;29.8;36.4;5.75;elevada;elevada;elevada;elevada;25.4;0.74;4647;9.1;3.5;3.4;7;70.8
Spain;European Union;2003;Yes;4.1;5;11.04;elevada;alta;alta;alta;26.2;0.09;25311;42.19;0.6;0.5;8.6;79.6
Czechia;European Union;2011;Yes;2.6;3.3;12.56;alta;alta;alta;alta;26.9;0.08;16762;10.5;1.9;1.9;12.5;77.9
Syrian Arab Republic;Middle East;2003;No;17.7;20.7;0.86;elevada;elevada;elevada;elevada;27.1;0.13;1423;17.42;6.6;6.4;5.1;74
Argentina;South America;2011;No;12.4;13.9;7.69;alta;alta;alta;alta;27.2;0.14;14200;41.26;1;0.9;9.8;75.4
Rwanda;Africa;2002;No;90.3;149.6;9.16;elevada;elevada;elevada;elevada;21.1;2.69;399;8.43;7.2;7.4;2.5;51
Brunei Darussalam;Asia;2011;No;8.1;9.8;0.91;alta;alta;alta;alta;26.5;0.1;34244;0.39;5.9;5.4;8.8;74.9
Guinea;Africa;2011;No;73.1;115.3;0.24;moderada;moderada;moderada;moderada;22.6;0.84;712;10.42;8;8;2;57.4
Namibia;Africa;2015;No;33.3;47.6;2.63;alta;moderada;alta;alta;24.2;4.58;4897;2.31;8.2;8.1;6.7;62.1
Guatemala;Central America and Caribbean;2013;No;25.6;30.7;1.83;elevada;elevada;elevada;elevada;26.3;0.03;3802;15.04;1.2;1.2;4.7;72.6
Nepal;Asia;2014;No;30.5;37.4;0.24;alta;moderada;alta;alta;22.2;0.17;871;26.91;15.9;16.3;4.5;69.2
Zambia;Africa;2002;No;79.2;136.1;2.61;elevada;baixa;elevada;elevada;21.6;9.05;808;10.97;7.4;7.3;6.1;45.4
Solomon Islands;Oceania;2007;No;23.8;28.4;0.82;alta;moderada;elevada;alta;25.5;0.17;1910;0.49;1.2;1.2;4.9;69.8
Syrian Arab Republic;Middle East;2000;No;19.6;23;0.93;elevada;elevada;elevada;elevada;26.9;0.13;1341;16.41;6.8;6.6;4.6;73.1
Antigua and Barbuda;Central America and Caribbean;2014;No;6.8;8.1;9.66;alta;alta;alta;alta;26.5;0.2;13909;0.09;3.3;3.3;9.2;76.3
Serbia;Rest of Europe;2000;No;10.9;12.6;9.2;elevada;elevada;alta;alta;25.3;0.01;3193;7.52;2.8;2.9;9.4;71.6
Moldova;Rest of Europe;2001;No;23.9;28.6;6.34;alta;alta;alta;alta;26;0.25;1423;2.92;3.5;3.6;9.3;67.2
Panama;Central America and Caribbean;2011;No;16.5;19.3;6.16;elevada;elevada;alta;elevada;26.5;0.4;11194;3.71;2;1.9;9.3;77
Grenada;Central America and Caribbean;2012;No;13.5;15.5;7.77;alta;elevada;alta;alta;26.6;0.4;7934;0.11;3.8;3.8;8.4;72.7
Uruguay;South America;2002;No;14.1;16.2;6.08;alta;alta;alta;alta;26;0.18;8929;3.33;1.7;1.7;8;75.2
Barbados;Central America and Caribbean;2001;No;14;15.3;7.42;elevada;elevada;alta;elevada;26.6;0.61;15834;0.27;4.2;4.2;9;77.4
Mauritius;Africa;2001;No;15.3;17.5;4.31;alta;elevada;alta;alta;24.5;1.21;5674;1.2;8;8;6.4;71.8
North Macedonia;Rest of Europe;2011;No;8.8;10;3.52;alta;alta;alta;alta;26.4;0.08;4434;2.06;2.2;2.3;9.3;75.1
Haiti;Central America and Caribbean;2006;No;63.8;87.2;3.51;moderada;elevada;moderada;moderada;24.1;1.07;1286;9.34;4.3;4.3;4.4;59
Armenia;Rest of Europe;2000;No;27;30.6;2.91;moderada;alta;alta;alta;25.7;0.08;1290;3.07;2.1;2.2;10.8;71.4
South Africa;Africa;2001;No;47.8;73.1;7.56;elevada;moderada;elevada;elevada;26.2;12.31;4996;45.57;15.4;18.1;7.5;55.1
United Arab Emirates;Middle East;2006;No;8.2;9.6;2.46;alta;alta;alta;alta;27.6;0.13;51197;5.3;5.1;4.9;9.3;75.6
Suriname;South America;2011;No;20.1;22.5;5.69;elevada;baixa;elevada;elevada;26.2;0.6;9358;0.54;3.5;3.4;7.8;70.7
Burundi;Africa;2007;No;70.4;110.5;5.03;alta;moderada;alta;alta;21.1;0.69;302;7.86;8;8;2.4;54.9
Georgia;Rest of Europe;2013;No;10.2;11.4;6.76;alta;elevada;alta;alta;27.2;0.14;3739;3.72;2.7;2.8;12.6;72.4
Canada;North America;2008;Yes;5.1;5.9;8.4;baixa;elevada;alta;alta;26.8;0.1;42064;33.25;0.5;0.4;12.4;80.7
Ethiopia;Africa;2004;No;73.1;115.3;0.21;moderada;moderada;moderada;baixa;20.1;0.73;286;74.24;11.5;11.3;1.8;55.2
Cote d'Ivoire;Africa;2007;No;81.1;118.2;0.91;elevada;moderada;elevada;elevada;23.3;1.85;1558;19.17;6.8;6.7;3.9;51.1
Ecuador;South America;2007;No;18.5;21.7;3.99;alta;alta;alta;alta;26.1;0.17;5048;14.3;1.4;1.3;7.3;74.5
Finland;European Union;2014;Yes;2.1;2.6;8.76;elevada;alta;alta;alta;25.9;0.08;42711;5.46;0.9;0.8;12.4;81.2
Senegal;Africa;2014;No;36.2;52.3;0.19;elevada;moderada;elevada;elevada;22.9;0.1;1179;14.17;9.7;9.5;2.8;66.4
Turkiye;Middle East;2011;No;14.5;16.9;1.47;alta;moderada;alta;alta;27.5;0.08;9299;73.44;4.9;4.7;7.2;74.9
Tunisia;Africa;2009;No;16.2;18.9;1.36;alta;alta;alta;alta;25.8;0.04;3881;10.53;6.3;6.3;6.4;74.9
Bahamas;Central America and Caribbean;2004;No;14.4;16.8;9.61;alta;elevada;alta;alta;27.1;0.7;35122;0.32;2.6;2.5;10.9;72
Guatemala;Central America and Caribbean;2003;No;36.8;46.2;2.34;elevada;elevada;elevada;elevada;25.3;0.33;3251;12.42;1.4;1.4;3.7;69.1
Barbados;Central America and Caribbean;2014;No;13.3;14.3;9.27;alta;alta;alta;alta;27.6;0.29;16188;0.28;3.8;3.7;10.5;78.7
Netherlands;European Union;2000;Yes;5.1;6.2;10.13;elevada;alta;alta;alta;25;0.06;40457;15.93;1.1;1.1;10.8;78
Uganda;Africa;2009;No;52.1;81.5;11.1;elevada;moderada;elevada;elevada;21.9;3.29;750;31.41;6.1;6.1;5.2;56.1
Uruguay;South America;2008;No;10.3;11.8;6.54;alta;alta;alta;alta;26.5;0.22;12022;3.34;1.6;1.5;8.4;76.4
Luxembourg;European Union;2014;Yes;2.3;2.8;11.42;alta;elevada;alta;alta;26.2;0.1;105584;0.56;1;0.9;12;82.2
Switzerland;Rest of Europe;2007;Yes;4.1;4.8;10.44;elevada;elevada;alta;alta;25;0.07;81805;7.55;0.5;0.4;12.6;81.7
Costa Rica;Central America and Caribbean;2008;No;9.5;10.9;4.29;elevada;elevada;elevada;alta;26.6;0.16;10053;4.46;1.9;1.8;8.4;78.5
Gambia;Africa;2004;No;54.7;95.6;3.56;alta;moderada;elevada;elevada;22.6;1.48;751;1.5;9.4;9.3;2.3;57.6
South Africa;Africa;2010;No;34.4;52;7.07;elevada;moderada;elevada;elevada;26.9;9.52;6085;51.22;7.3;8.9;10;57.7
Brunei Darussalam;Asia;2001;No;8;10.1;0.44;alta;alta;alta;alta;25.4;0.1;34291;0.34;6.8;6.2;8.3;73.1
Panama;Central America and Caribbean;2010;No;17;19.9;6.1;alta;elevada;alta;alta;26.5;0.4;10232;3.64;2;1.9;9.3;76.8
Lesotho;Africa;2006;No;74.5;116.5;2.77;alta;elevada;elevada;elevada;24.4;16.06;874;1.99;8.8;8.7;5.4;42.6
Azerbaijan;Asia;2005;No;44.1;51.9;0.73;baixa;moderada;elevada;elevada;26;0.19;2632;8.39;2.9;3;10.7;68.7
South Africa;Africa;2007;No;46.6;75.3;7.5;elevada;baixa;elevada;elevada;26.7;10.86;6060;49.12;9.7;11.7;9.1;54.5
Nicaragua;Central America and Caribbean;2014;No;17.3;20.2;3.54;alta;elevada;alta;alta;27.1;0.11;1982;6.14;1.8;1.7;6.5;73.4
Iran Islamic Rep;Middle East;2010;No;16.5;19.3;0.03;alta;moderada;alta;alta;25.8;0.08;5496;73.76;7.8;8;9;73.9
Jamaica;Central America and Caribbean;2002;No;18;21.1;3.61;alta;alta;alta;alta;25.8;0.84;4934;2.69;2;1.8;7.7;74.1
Lesotho;Africa;2010;No;70.9;96.4;2.75;alta;elevada;alta;alta;24.7;12.44;996;2;7.2;7;5.6;45.1
Oman;Middle East;2009;No;10.2;11.8;0.5;alta;alta;alta;alta;25.9;0.05;21458;2.88;6.9;6.8;7.7;75.4
Egypt Arab Rep;Africa;2012;No;22.2;26.3;0.19;alta;moderada;alta;alta;29.1;0.13;3472;86.42;2.9;2.8;6.8;70.7
Ghana;Africa;2000;No;64.3;99.7;1.95;elevada;moderada;elevada;elevada;22.6;1.75;1041;19.28;9.2;9.2;6.1;57
Japan;Asia;2009;Yes;2.4;3.3;6.98;elevada;alta;alta;alta;22.7;0.17;31651;128.05;1.8;1.6;11.4;82.9
Spain;European Union;2012;Yes;2.9;3.6;8.6;alta;alta;alta;alta;26.1;0.09;24635;46.77;0.6;0.5;9.5;82.4
Spain;European Union;2011;Yes;3;3.7;8.74;alta;alta;alta;alta;26.1;0.09;25403;46.74;0.6;0.5;9.5;82.5
Croatia;European Union;2011;Yes;4.5;5.3;11.01;alta;alta;alta;alta;26.8;0.02;11780;4.28;1.6;1.5;11;76.8
Uganda;Africa;2000;No;87.1;146.1;11.68;moderada;moderada;moderada;moderada;21.2;4.6;517;23.65;7;7;3.9;46.2
Serbia;Rest of Europe;2006;No;7.3;8.4;8.82;alta;alta;alta;alta;25.6;0.01;4648;7.41;2.5;2.5;10.2;73.4
Czechia;European Union;2002;Yes;4.1;5;13.77;elevada;alta;alta;alta;26.5;0.08;12960;10.2;2.2;2.3;11.1;75.2
Sierra Leone;Africa;2000;No;138.1;224.9;3.75;elevada;moderada;baixa;baixa;22;1.59;403;4.58;1.3;1.4;2.3;39.4
Lebanon;Middle East;2009;No;9.2;10.7;1.53;elevada;elevada;elevada;elevada;27;0.03;8687;4.81;4.7;4.7;7.9;78.2
Czechia;European Union;2010;Yes;2.7;3.4;12.68;alta;alta;alta;alta;26.8;0.08;16506;10.47;1.9;2;12.4;77.4
Philippines;Asia;2002;No;27.8;36.2;4.39;baixa;baixa;elevada;elevada;22.3;0.01;1876;81.37;1;9.7;7.9;68.9
Dominican Republic;Central America and Caribbean;2002;No;31.1;38.1;6.65;moderada;elevada;elevada;elevada;25.1;0.88;4376;8.72;3.7;3.6;6.7;70
Sri Lanka;Asia;2000;No;14.2;16.5;1.45;elevada;elevada;alta;alta;21.5;0.02;1923;18.78;15.3;15.5;10;71.3
Cyprus;European Union;2014;Yes;2.4;2.9;9.63;alta;elevada;alta;alta;26.8;0.06;22514;1.15;0.9;1;11.9;80.2
Latvia;European Union;2001;Yes;10.8;13.3;6.68;alta;alta;alta;alta;25.6;0.21;7245;2.34;2.8;2.8;10;70.8
Benin;Africa;2005;No;76.5;121.5;1.24;elevada;elevada;elevada;elevada;22.6;0.79;944;7.98;8.7;8.6;2.8;57.4
Madagascar;Africa;2003;No;60.2;92.4;0.83;moderada;moderada;moderada;moderada;20.8;0.04;453;17.28;8.3;8.3;5.4;60.3
Pakistan;Asia;2000;No;84.6;107.8;0.015;moderada;baixa;moderada;moderada;22.5;0.13;1029;142.34;22.2;22.6;3.3;62.8
Cote d'Ivoire;Africa;2008;No;78.7;114.2;0.97;elevada;moderada;moderada;elevada;23.3;1.66;1596;19.61;6.6;6.6;4;51.7
Grenada;Central America and Caribbean;2001;No;12.8;15.2;9.77;alta;moderada;alta;alta;25.4;0.4;6809;0.1;4.2;4.2;7.4;72.8
Finland;European Union;2000;Yes;3.5;4.3;8.88;elevada;alta;alta;alta;25.7;0.08;37884;5.18;0.9;0.9;9.3;77.5
Kiribati;Oceania;2009;No;49.8;65.2;0.54;elevada;baixa;elevada;elevada;29.5;0.17;1409;0.1;0.1;0.1;7.8;65.5
Bulgaria;European Union;2004;Yes;11.8;14.2;10.7;alta;alta;alta;alta;25.5;0.02;4850;7.72;2.3;2.3;10.1;72.6
Cambodia;Asia;2014;No;28.7;33.4;3.07;elevada;moderada;alta;elevada;22;0.11;1105;15.27;1.9;11;4.7;68.3
Nicaragua;Central America and Caribbean;2000;No;31.4;38.5;3.58;elevada;elevada;elevada;elevada;25.8;0.16;1445;5.07;2.2;2.1;5.1;69.5
Guyana;South America;2001;No;36.2;45.2;7.36;elevada;elevada;alta;elevada;24.8;0.98;3947;0.75;5.9;5.7;7.8;65.5
Ethiopia;Africa;2009;No;57;86.7;0.32;moderada;moderada;moderada;moderada;20.3;0.4;414;85.23;11.1;1.8;2.3;60.6
Turkmenistan;Asia;2010;No;37.2;43.1;2.9;alta;alta;alta;alta;25.8;0.08;4266;5.09;3.2;3.3;9.9;66.7
Lithuania;European Union;2007;Yes;6.5;8;13.79;alta;alta;alta;alta;26.2;0.07;11985;3.23;2.9;3;12.1;70.9
Russian Federation;Rest of Europe;2001;No;14.7;18.3;10.47;baixa;elevada;alta;alta;25.8;0.08;5619;145.98;2.8;3;11.4;65.4
Cabo Verde;Africa;2012;No;20.3;24;4.93;alta;alta;alta;alta;24.3;0.24;3085;0.51;7.1;7.1;5.4;71.4
Myanmar;Asia;2005;No;57.4;77.2;0.63;moderada;moderada;elevada;elevada;21.7;0.47;542;48.95;13.2;13.6;3.5;61.6
Portugal;European Union;2008;Yes;3.2;4;11.47;alta;alta;alta;alta;25.8;0.17;19986;10.56;0.7;0.5;7.8;78.5
Uruguay;South America;2011;No;8.9;10.3;6.02;alta;alta;alta;alta;26.8;0.23;14086;3.37;1.5;1.5;8.4;76.9
Ukraine;Rest of Europe;2014;No;8.4;9.8;7.58;baixa;moderada;baixa;baixa;26.5;0.24;2346;45.27;2.3;2.4;11.3;71.2
Ireland;European Union;2004;Yes;4.7;5.6;13.11;alta;elevada;elevada;elevada;26.7;0.06;47731;4.07;0.3;0.2;11.6;78.5
Denmark;European Union;2012;Yes;3.5;4.1;9.23;elevada;elevada;alta;alta;25.3;0.04;51567;5.59;1.1;0.9;12.8;80.1
Tanzania;Africa;2002;No;69.9;114;5.14;elevada;moderada;alta;elevada;22.2;4.03;611;35.33;8;8;4.3;52.1
Botswana;Africa;2001;No;44.6;80;5.5;elevada;elevada;alta;alta;23.7;17.96;4495;1.67;11.8;11.8;7.7;50.3
Sri Lanka;Asia;2006;No;11.6;13.5;1.96;alta;alta;alta;alta;22.1;0.02;2398;19.7;15.4;15.5;10.5;74.9
Malta;European Union;2013;Yes;5.8;6.6;7.32;alta;elevada;alta;alta;27.1;0.08;22071;0.43;0.8;0.7;11;81.7
Uzbekistan;Asia;2004;No;40.1;46.8;2.82;alta;alta;alta;alta;25.2;0.1;1476;25.86;3.2;3.2;9.7;68.1
Serbia;Rest of Europe;2011;No;6.4;7.4;8.55;alta;alta;alta;alta;25.8;0.02;5354;7.23;2.2;2.2;10.6;74.5
Finland;European Union;2009;Yes;2.6;3.2;9.96;elevada;alta;alta;alta;26;0.08;42412;5.34;0.9;0.8;12.2;79.7
Austria;European Union;2002;Yes;4.4;5.3;12.09;elevada;baixa;elevada;elevada;25.1;0.08;39636;8.08;1.7;1.9;9.4;78.7
Suriname;South America;2006;No;22.9;25.7;4.57;elevada;baixa;elevada;elevada;25.9;0.81;7896;0.51;3.5;3.4;7.7;69.2
Mali;Africa;2014;No;68.7;112.4;0.61;elevada;moderada;moderada;elevada;22.9;0.42;729;16.93;7.9;7.7;2.3;57
Croatia;European Union;2008;Yes;5.1;5.9;11.36;alta;alta;alta;alta;26.4;0.02;12790;4.31;1.7;1.7;10.3;75.9
Niger;Africa;2014;No;53.4;98;0.12;moderada;moderada;elevada;moderada;21.7;0.06;482;19.24;9.8;9.6;1.7;60.1
Kazakhstan;Asia;2000;No;36.7;42.5;5.81;alta;alta;alta;alta;25.6;0.02;4446;14.88;2.7;2.7;10.5;65.5
Croatia;European Union;2013;Yes;4.3;5.1;10.39;alta;alta;alta;alta;27;0.02;11537;4.26;1.5;1.5;11;77.1
Japan;Asia;2007;Yes;2.6;3.5;7.28;elevada;elevada;alta;alta;22.6;0.17;33990;128;1.8;1.5;11.3;82.5
India;Asia;2000;No;66.7;91.7;0.93;moderada;baixa;moderada;moderada;20.7;0.34;758;1056.58;27.7;28.6;4.4;62.5
Norway;Rest of Europe;2014;Yes;2.3;2.8;6.06;elevada;alta;alta;alta;26.6;0.04;73650;5.14;0.8;0.7;12.5;82.1
Togo;Africa;2009;No;59.8;91.7;1.16;elevada;moderada;elevada;elevada;23;1.28;468;6.25;7.5;7.4;4.3;56.8
Belize;Central America and Caribbean;2003;No;18.5;21.7;5.63;alta;elevada;alta;alta;27.7;1.47;4736;0.27;3.6;3.6;10.2;69.5
Vietnam;Asia;2008;No;18.8;23.5;1.78;elevada;moderada;alta;alta;20.8;0.19;1833;86.24;14.7;15.7;7;74.6
Ethiopia;Africa;2011;No;51.9;77.7;0.45;moderada;moderada;elevada;moderada;20.4;0.32;490;90.14;1.9;1.6;2.4;62.5
Cote d'Ivoire;Africa;2013;No;69.1;97;1.22;elevada;moderada;elevada;elevada;23.6;0.84;1769;22.09;5.8;5.7;4.7;54.9
Mali;Africa;2002;No;96.1;174.7;0.61;elevada;moderada;moderada;moderada;21.8;0.92;641;11.62;1.5;1.5;1.4;49.5
Turkiye;Middle East;2013;No;12.7;14.7;1.33;alta;moderada;alta;alta;27.7;0.08;10226;75.93;4.9;4.7;7.7;75.8
Netherlands;European Union;2009;Yes;3.8;4.6;9.12;elevada;alta;alta;alta;25.5;0.06;44028;16.53;1;0.9;11.9;80.5
Yemen Rep;Middle East;2008;No;48;62.4;0.038;elevada;alta;elevada;elevada;23.1;0.03;2574;21.89;13.8;13.7;2.3;64.9
Niger;Africa;2007;No;71.3;149;0.096;elevada;moderada;moderada;moderada;21.3;0.18;417;14.69;11.4;11.3;1.4;55
Papua New Guinea;Oceania;2005;No;49.6;64.9;0.8;moderada;moderada;moderada;elevada;24.6;0.56;1888;6.49;1.4;1.4;3.5;60.5
Chad;Africa;2009;No;85.8;151.7;0.67;baixa;moderada;baixa;baixa;21.6;0.67;659;11.56;9.6;9.5;1.8;50.3
Mauritius;Africa;2012;No;13;14.9;3.17;alta;alta;alta;alta;25.1;0.89;8384;1.26;7.1;7;8.6;73.9
North Macedonia;Rest of Europe;2002;No;12.8;14.3;4.67;moderada;alta;alta;alta;25.8;0.08;3240;2.02;2.7;2.7;7.1;73
Micronesia Fed Sts;Oceania;2005;No;28.6;34.7;1.9;alta;moderada;alta;alta;29;0.17;3023;0.11;0.2;0.2;6;65.5
Eritrea;Africa;2003;No;49.6;73.8;0.62;alta;elevada;alta;alta;20.3;0.47;796;2.6;9.7;9.7;3.7;57.2
Zimbabwe;Africa;2015;No;42.1;61.3;3.84;elevada;moderada;elevada;elevada;23.8;3.86;1445;13.81;5.6;5.5;8.2;59.5
Italy;European Union;2002;Yes;4.3;5;9.25;alta;elevada;alta;alta;25.5;0.09;32998;57.06;0.5;0.5;8.8;80.2
United Kingdom;Rest of Europe;2012;Yes;4.1;4.8;9.53;elevada;elevada;alta;alta;27;0.08;43100;63.7;0.8;0.5;12.9;80.9
Lesotho;Africa;2011;No;69;93.9;2.38;alta;elevada;alta;alta;24.7;11.51;1037;2;6.8;6.6;5.8;46.2
United States;North America;2007;Yes;6.6;7.7;8.74;alta;elevada;alta;alta;28.3;0.13;54300;301.23;0.7;0.6;12.9;78
Solomon Islands;Oceania;2008;No;23.3;27.8;1.07;elevada;moderada;elevada;elevada;25.6;0.17;1976;0.5;1.2;1.2;5;70.1
Nigeria;Africa;2014;No;80.1;127.9;4.45;baixa;moderada;baixa;baixa;23.2;0.58;2688;176.4;1.1;9.9;5.9;52.7
Bulgaria;European Union;2013;Yes;7.8;9.3;10.32;alta;alta;alta;alta;26.2;0.03;6693;7.27;1.9;1.9;10.9;74.9
Poland;European Union;2000;Yes;8.1;9.3;8.4;alta;alta;alta;alta;25.4;0.08;7357;38.26;2.5;2.8;11.1;73.7
Zimbabwe;Africa;2012;No;46.5;72.2;3.93;alta;moderada;alta;alta;23.7;5.13;1432;13.12;6.5;6.4;7.9;55
Iceland;Rest of Europe;2004;Yes;2.7;3.4;6.71;elevada;elevada;alta;alta;25.7;0.03;46766;0.29;1;0.9;9.9;81
Malta;European Union;2015;Yes;5.7;6.6;7.37;alta;alta;alta;alta;27.1;0.08;24922;0.45;0.8;0.8;11.2;81.9
Georgia;Rest of Europe;2002;No;27.7;31.5;2.74;moderada;baixa;elevada;elevada;26;0.03;1775;3.98;2.9;3;11.9;70.2
Ethiopia;Africa;2003;No;76.7;121.8;0.14;moderada;moderada;moderada;baixa;20;0.83;259;72.17;11.6;11.5;1.7;54.2
Belgium;European Union;2013;Yes;3.4;4.2;10.33;alta;elevada;alta;alta;26;0.08;39970;11.16;1;0.9;11.4;80.6
New Zealand;Oceania;2008;Yes;5.2;6.3;9.48;alta;elevada;elevada;elevada;27.5;0.04;35655;4.26;0.3;0.3;11.8;80.4
Sierra Leone;Africa;2013;No;97.7;141.2;3.12;alta;moderada;alta;alta;22.6;0.95;740;6.86;7.7;7.6;3.3;51.7
Singapore;Asia;2003;No;2.5;3.2;1.43;alta;alta;alta;alta;23.5;0.15;36710;4.11;2.1;2;9.8;79
Slovak Republic;European Union;2007;Yes;6.4;7.7;10.96;alta;alta;alta;alta;25.8;0.01;13734;5.37;1.3;1.4;11.1;74.2
Nepal;Asia;2002;No;53.1;70.4;0.19;baixa;moderada;elevada;elevada;20.9;0.17;570;24.73;18.2;18.8;2.5;63.6
Tonga;Oceania;2012;No;11;12.8;0.22;elevada;alta;alta;elevada;31.9;0.17;4108;0.1;0.1;0.1;10.9;70.2
Bahamas;Central America and Caribbean;2012;No;12.8;14.9;9.37;alta;elevada;alta;alta;27.7;0.39;32652;0.36;2.5;2.5;11.1;72.4
Kenya;Africa;2015;No;35.2;48.9;1.65;elevada;baixa;elevada;elevada;23.3;1.15;1465;47.88;7.8;7.6;6.3;64.8
Cameroon;Africa;2008;No;72.7;117.6;5.5;elevada;moderada;elevada;elevada;23.8;2.27;1249;19.25;6.4;6.5;5.2;54.2
Timor-Leste;Oceania;2006;No;62.1;76.1;0.039;elevada;moderada;moderada;moderada;20.3;0.06;862;1.02;11.9;11.9;3.4;64.8
Canada;North America;2003;Yes;5.3;6.2;7.7;baixa;elevada;elevada;alta;26.5;0.1;36024;31.64;0.5;0.4;11.7;79.7
Lithuania;European Union;2011;Yes;4.5;5.5;14.76;alta;alta;alta;alta;26.3;0.09;12047;3.03;2.7;2.8;11.8;73.6
Armenia;Rest of Europe;2004;No;22.2;25;3.73;alta;alta;alta;alta;25.8;0.08;2062;3;2;2.1;10.8;72.5
Bangladesh;Asia;2014;No;32.5;40.1;0.01;alta;elevada;alta;alta;21.5;0.01;1185;154.52;18.1;18.6;5.2;71.2
